alpha,beta,gamma,D,coherence,entropy
0.11539048051578638,0.10921937332364207,0.37061770003690125,0.7730014968574223,0.00010090421650486905,0.020915191341922035
0.08233558725054002,0.09242959309772805,0.5559399412667916,0.6752190390142752,9.67750314334708e-05,0.018280443318262434
0.06954266732965522,0.11837428825387578,0.7085856579498511,0.7580425491622591,0.00010118868911602033,0.02059386098093343
0.08051630699886285,0.11330095515041735,0.7788487006797817,0.6224476374577177,9.612449578156755e-05,0.018096178203344828
0.09826077469029794,0.08293890592274365,0.498081867965504,0.8890413278391212,9.813795909132564e-05,0.01907233476351108
0.1161139221407675,0.10121433336903576,0.5733065066755041,0.6973794222200583,0.0001067901218083776,0.023550563987863447
0.08344800595444404,0.09087712831780922,0.36727780554769446,0.8221109852173668,0.00010949499039228699,0.024533050847969168
0.08206121285009083,0.08516717469507244,0.6760007018007264,0.6186892170207619,9.718168504106828e-05,0.01857611419110925
0.11320583293295854,0.0921370174207037,0.65150681861962,0.6998154831058943,9.330557034020307e-05,0.016928722126311642
0.07912008497151513,0.11037685180509636,0.43462598296400423,0.617667752543163,9.894088851013008e-05,0.019939754210435836
0.10361889937796841,0.10414031036814315,0.7567257328925442,0.6882265939645176,9.679789193535332e-05,0.01842834232546732
0.07564291226111898,0.0995520264497049,0.7665957236701566,0.829169344506923,0.00010477586291053624,0.023602224326116895
0.11499601486838851,0.09290914902227361,0.8380765328628093,0.7178086859151487,9.826799499009167e-05,0.019548985440997996
0.11709358102585472,0.11536940542263031,0.5610913828340134,0.8664200614572558,0.00010104588302688538,0.0200417035756794
0.06813115663379363,0.11008856693611618,0.7170405391447858,0.9234375092146487,9.320018249891801e-05,0.016756829789436097
0.08720048425793267,0.09180304756957858,0.8852835782948527,0.8020249602628897,9.422116942367853e-05,0.017307129199976626
0.05019256204337743,0.11704403567691893,0.45999683400280655,0.8647611124166443,0.00010993286305009334,0.025097076500384632
0.09826558394150262,0.08975700842580768,0.5274731549849545,0.9589713490228301,9.739441528395215e-05,0.01844740597627497
0.08543835799825131,0.08929872745926705,0.3904168412788281,0.8515150372682119,0.00010894697813454865,0.02398966501927944
0.11684843825283825,0.11111731719562534,0.6262403802972203,0.8536732564706766,9.681250858324969e-05,0.017874958951307925
0.09717031121809055,0.10535841591226787,0.6361203381559721,0.6960642016323393,9.784887156313381e-05,0.018577436887169077
0.06462469923228148,0.11023737865364239,0.5602535631303757,0.8753199855214482,9.732199040802447e-05,0.018305955527131976
0.06038403870296628,0.08468188081741408,0.36715639015331747,0.9751362652484539,0.00010776722685339208,0.023539482785173777
0.05410755714210545,0.08306413747512252,0.5519108310506431,0.8872335722509683,0.00010829397205461652,0.02414931769150547
0.0637801315863732,0.10612263230808207,0.5782920112474247,0.7652485540514737,9.504169686352798e-05,0.017429981999898446
0.10926443229241431,0.10702238511174428,0.7957673413753455,0.6618293473309328,9.144853631412359e-05,0.01652260549174296
0.09212104336083203,0.10260144306275448,0.7502697420925034,0.7455150131160959,9.051177352331444e-05,0.016273302282119467
0.0946373431411438,0.11350039390996307,0.7071037412717125,0.922615080390192,9.452547969795275e-05,0.017528883763089167
0.06345011137895494,0.08411746070856703,0.44575953118716816,0.9268832307134641,0.00010986297420301643,0.024322594690386272
0.07607052548105957,0.09463349122021786,0.4840961945717599,0.8901167662467884,0.00010824179305121165,0.023998303843429016
0.06415002640946586,0.10740153086002284,0.5014421788174704,0.7330535842721393,0.00010447942764231232,0.021624256568452602
0.0783242623088145,0.08668977275867602,0.4587395139711917,0.8423138419881517,9.723745987551765e-05,0.018944283654066536
0.09841190292486643,0.08058007925782491,0.5437561007964468,0.702370826287387,0.00010899012533990582,0.024613063039924783
0.08198155066862686,0.11534795208179141,0.8359985310301019,0.7262212566777149,9.094877452913034e-05,0.01635029062779984
0.11570657586230729,0.10122608227912926,0.8269883284600845,0.7446030885443068,9.045546620043046e-05,0.015744291332872893
0.0784309830268864,0.09374223246978633,0.7402003398281516,0.7974221073814847,9.375696223746705e-05,0.01695818994113323
0.10489438340669968,0.08600238129322973,0.3347718060893179,0.8527990635966899,0.00011477285780716042,0.02767143721018318
0.07999268950420022,0.08739980130299001,0.7391288462024332,0.9714755125398384,9.19775038925334e-05,0.016351005026122117
0.05094880834262116,0.09342587290286739,0.33562789046982794,0.6857491021953168,0.00011145261242551854,0.025794439103071335
0.08299923835145553,0.10983937933841213,0.37363191850196775,0.6279432227853119,0.000110481118574181,0.02492437321749266
0.11450054296413037,0.08275524337967655,0.320517584006521,0.9467522706769652,0.00010895480347787828,0.02432781353969839
0.0729462871589825,0.1016109242322711,0.8050053751359563,0.6852052275842039,9.41954335861957e-05,0.017561047778595046
0.10541139270803723,0.1029262107367692,0.6308888949423875,0.832550749341778,9.59780173807939e-05,0.017508703223285474
0.1091458360384474,0.11700538926953817,0.4588099705226049,0.9311654072321045,0.00010075396527147648,0.020201327368236682
0.11065511070257703,0.11908542142287389,0.5483086450053151,0.7624717938324135,0.00010191193807505297,0.02008375557699857
0.10944215867230188,0.0955122195758951,0.5648817766711646,0.8297499968299795,0.00010039561557927124,0.019230388375785223
0.051328301428887044,0.11596072949875216,0.39079731284128266,0.9786829834107151,0.0001120023685055286,0.026067824148406377
0.09410133344788811,0.10114298323312312,0.570028051753696,0.6786668914858563,9.88951241194972e-05,0.019007535870360442
0.07501704999797071,0.11337697532807928,0.3172089542775445,0.7296524605547952,0.00010802648490087771,0.024238111272167403
0.10972474339711893,0.10738911040867083,0.8846208655619785,0.802211365488079,8.784035567260278e-05,0.015421184267961732
0.08373879741505254,0.09056414711390698,0.5144671431126064,0.7140589013446786,0.00010046737316844295,0.01964215650709025
0.09019306344878752,0.09300757329378846,0.8905675378960285,0.6935474665313909,8.893274545720963e-05,0.015777518033025056
0.10446598719170982,0.11483587099246371,0.8415560971048006,0.9088617351478279,9.326146555356768e-05,0.016671654366435827
0.06091229608345877,0.09028112209345379,0.542275086882152,0.7037145074298515,0.00010086519653990805,0.019764880121648086
0.09969629607415537,0.09475197015038653,0.7399481880786432,0.6187537191903731,0.00010404743061426135,0.02249958549708846
0.07943247186523927,0.11529049137730557,0.6977727510145508,0.7868830338122926,0.00010039570467133583,0.0201769903071813
0.051340772535446826,0.11519029970507738,0.5920771320135985,0.7387388624389034,9.86271313134628e-05,0.018479278242705312
0.0866752981348595,0.08364338736216106,0.5601632245776496,0.8562994161882133,9.511292268457022e-05,0.01749934268476097
0.068961625388061,0.11091490909991351,0.48244724084232293,0.8813216653295755,0.00010401472695214,0.021417704097719235
0.06690746700346822,0.09973381280189648,0.7206303945097373,0.816470192400764,9.366766659160427e-05,0.017012129618963413
0.09879252987336312,0.09043872777325294,0.5684309225395652,0.9094214741224484,0.00010044741363646328,0.019563454741475535
0.11154916102867707,0.10006983599510562,0.854162232530177,0.8280156629417715,8.904730819677156e-05,0.016015164026082027
0.07581771528635917,0.10576414791847982,0.5485693992026787,0.7149001034572808,0.00010364157782548728,0.021110212713194243
0.050674199860037794,0.10031649351110124,0.6550681582110685,0.6776722749898311,0.00010020179451673613,0.019684381547909566
0.06255437103991797,0.08172765109643618,0.4946666239646581,0.6300910155658493,9.649840595186073e-05,0.018518577675003447
0.11418717935912531,0.11662014784080844,0.4869016570010385,0.8030003109373081,9.509665020591557e-05,0.01787738075837705
0.10479133316433245,0.08167316879669126,0.5367558237179638,0.945255910026764,0.00010052087838493234,0.019730191317442598
0.06874721077889077,0.09823211532049744,0.5554001840946756,0.8024573318330727,9.853148086553833e-05,0.01897917797909495
0.10666062066779394,0.08400426793649142,0.495643287669178,0.9978421192909861,9.960652329477673e-05,0.01931385305952381
0.09613887665754281,0.11740939066512221,0.6951654712439728,0.8627511432115018,9.610338446323482e-05,0.01785790214063775
0.11698604213538646,0.09787664939263517,0.34420354992153834,0.9374497545329787,0.0001037783522148985,0.022181629931089866
0.07703892777379125,0.09168759305630306,0.4705115203138238,0.8642674121440961,9.715972184114158e-05,0.0191757701716041
0.0959072166329093,0.08098611731494859,0.7221623353948909,0.934884721750231,0.00010200602880540093,0.021317006529385018
0.09309792725545349,0.09752382252868394,0.6639706677454511,0.8080034495548339,9.243358179610972e-05,0.01685328505125539
0.06056247403090786,0.11963800824217066,0.5651258916424196,0.8409752085651927,0.00010542718343101902,0.022312307938930125
0.07176973780952364,0.09721523005678384,0.492557981315071,0.9182053944960854,9.59341756257793e-05,0.018071767016389698
0.07326200327317432,0.09161748398808849,0.3441972378585216,0.6931458724269849,0.00010244021292361089,0.021696659166292875
0.09994685670817763,0.0899758880539227,0.33728143774648583,0.9787720183355932,0.00010378445830704983,0.02226185551120532
0.10436227577918691,0.0906313715891889,0.5235552687781999,0.6091211698271962,9.377406106269583e-05,0.017339385537191155
0.1154996009083492,0.08126050984009255,0.8131072451362233,0.844285197382125,9.264030647182164e-05,0.016821050163908634
0.08457485024599079,0.0821470009212509,0.37623789561508036,0.957895516658224,9.91985571885054e-05,0.02032764625463582
0.08393838001550347,0.11794482823864921,0.3719210293816766,0.6980625122679909,0.00010390214742269833,0.021838516753171788
0.10072837597832976,0.09465361128884639,0.3119835617449025,0.9828191911598849,0.00010938373828312659,0.024843136787542897
0.11184902982101909,0.10559668223653577,0.44008935042828246,0.8846922500097358,0.00010563148038658879,0.021980558425830802
0.11675552855154156,0.11133158641491431,0.584672339078351,0.8010831846297893,9.82283620274052e-05,0.018583405535053048
0.08013218845942609,0.08764357011523424,0.7022727196042706,0.8623739226203528,0.00010192356657386742,0.021307173408458658
0.09511505371867499,0.09079705638548705,0.8484188237410681,0.8567334977441233,9.052263492504185e-05,0.016153584773372073
0.06012397084560682,0.08917659589573383,0.35670545284448063,0.8327606071356894,0.00010145311162420886,0.020991671071099175
0.07303963443746284,0.08758359306310701,0.7457649354624932,0.9136825381792907,9.453839454291145e-05,0.017261609919673074
0.11084342174261186,0.09519234100967978,0.4444264752205705,0.7220234708832728,9.613032075012719e-05,0.018928455297884707
0.08993675567443912,0.11256825051637173,0.6007786440925198,0.9480563240784692,0.00010014041085025971,0.019827095891989315
0.0645603789995219,0.10024216564807982,0.5018691824115574,0.9715785366334122,9.77221250632057e-05,0.0187388763632115
0.11848093049182519,0.0910367100400089,0.7498374787632427,0.7206994535785884,8.967241377705986e-05,0.016473458131910156
0.07358480149830154,0.1081352337533756,0.6494510617517975,0.7921217507601286,0.00010243534245263041,0.021008495109946273
0.08383320117653774,0.0847676056005784,0.3317210148249172,0.9246229823351362,0.00010758789105106804,0.023695848042354674
0.06626465985717597,0.08169401747598352,0.5935134368936525,0.7215480532277212,9.238828502569818e-05,0.016883344889311282
0.0558206542640877,0.0892125709559496,0.6705726131211462,0.622866334880478,9.779658295288656e-05,0.018575454190029997
0.0882649739441041,0.10113034613381974,0.8060978410865554,0.7274458552736853,9.522739288968331e-05,0.01790066454948596
0.08710537889173618,0.08640884007202274,0.37896323945584615,0.6324711313783763,0.00010441389532413039,0.021969285387035176
0.10602738339223411,0.11679320206666399,0.4192364551416422,0.9789457992370412,0.00010076065355476227,0.020313573929267286
0.07558123663514292,0.114803920261206,0.3412104921076354,0.8972420233861961,0.00010600661825239507,0.02255260617578795
0.08274305123487632,0.115428101640324,0.5087669898371745,0.8114089414338165,9.936889388721856e-05,0.018929327799907306
0.11268924374970053,0.10957610681061522,0.7404710934858385,0.7608749101633705,9.762016576187565e-05,0.01876994909957617
0.05278425137505481,0.10410164337485199,0.4683839662441672,0.7128725290872431,9.971627113934208e-05,0.01967588968943975
0.1054337330724408,0.08319156778714597,0.7050845198185407,0.9039606175886925,9.671957434427055e-05,0.01861567788938131
0.06623094508423355,0.08677283540900373,0.5280810137324132,0.8944263073758267,0.00010458294290790063,0.021500350054141765
0.06366550366639014,0.11649455485666933,0.7542778038838773,0.7473870752393565,9.453973428542697e-05,0.01756057250396682
0.06936037068717886,0.08402626362359265,0.40273752054053874,0.802828977148629,9.891656126852462e-05,0.020042951144513477
0.09183054387336363,0.0833827625800536,0.3154181842652873,0.7174028792373618,0.00010191350475841448,0.02217580424567835
0.09690893943387227,0.09035373645153452,0.5445419615308342,0.8990591060407325,9.348543542272488e-05,0.017272270484906847
0.09679924723897362,0.09694562175133206,0.7574136711519732,0.6227335006262117,9.694298689567954e-05,0.018688743500378226
0.07417351886870031,0.10610471558097481,0.4952577232619161,0.9278483531301214,9.605865475178132e-05,0.018644006333472383
0.052887072343861447,0.10873611510840145,0.3136955632626686,0.7183118441017714,0.00011453586332710261,0.027539444733242918
0.06249150846200237,0.08125002514655248,0.49291727136253816,0.6459856168786607,9.595667590296522e-05,0.018323115506362776
0.07430109428793613,0.0843654649913728,0.4242897410495983,0.9771316054140826,0.00010118019166056641,0.02028997971187568
0.06195897546552063,0.11395103183078142,0.8591896661336738,0.9060168281889647,9.744183320619184e-05,0.0191801923009216
0.11006978463062049,0.10037956872753437,0.7828752949698241,0.6431775205914174,9.376426329086804e-05,0.017387371038627152
0.10739545894460395,0.11675958436940209,0.8868644476912837,0.7760239269784608,9.501392532039975e-05,0.01814685597319756
0.0506881388898616,0.10499852162264059,0.6854503734015513,0.8882124499340367,9.027083874883906e-05,0.01615780994574823
0.1168648259669121,0.08165404502659968,0.4650711452466678,0.9226714146546423,9.86810998100183e-05,0.019043994625789623
0.09488317929732194,0.09621424654714789,0.484858419115618,0.8208938940943866,9.703208631196852e-05,0.018505679551382492
0.11518249928523601,0.08402560129283418,0.426968103945187,0.9164815618283659,0.00010743896265776562,0.023377394685182303
0.0825784865486142,0.08730817234315458,0.33568390559598615,0.8640429902348734,0.00010740263058775489,0.02346547858905822
0.09295206474095627,0.09797554669623434,0.4833233303910872,0.7218927508837032,9.929748787449882e-05,0.01960022955205292
0.08765800108083513,0.09205780314796748,0.7899726187644462,0.8457950869078107,9.616974745605799e-05,0.018526193908152563
0.09156776574481287,0.11470122413252917,0.36267021998855,0.8472367549008819,0.00010062349982769664,0.020774826732602322
0.10280914765979773,0.11080975152019618,0.37227229484222196,0.6923151560422705,9.881897207415492e-05,0.020355061657467463
0.05319085826769502,0.10299303278719571,0.7474411717011391,0.6649012552013455,8.990645236570094e-05,0.016081511852708973
0.10752666210638018,0.08095331881496447,0.6733257985384531,0.8600344073486925,9.07769374422547e-05,0.016097695753806523
0.06802876520918613,0.10760163423749819,0.7100081560443215,0.8531590075134957,9.34868040701455e-05,0.016768103230423718
0.08307929412876196,0.10453575691013986,0.33231860249279943,0.8825643843524704,0.0001129907261030606,0.026967478816986627
0.06964365025240994,0.10455633280124581,0.6259556428635362,0.9818353375815356,9.510059978267504e-05,0.017605243131161005
0.09961754369692524,0.1168711506728118,0.4998887146493246,0.9105961025473815,0.00010113285612922174,0.020293324869866926
0.07294405953049636,0.11565842868218905,0.47875989512635747,0.778519744167578,0.00010004834691438588,0.019425579620426084
0.08923243611414645,0.10313770097817387,0.762004012055437,0.8374992697051767,9.315836905671583e-05,0.01693840513118475
0.11756893028691666,0.1170097518932126,0.48029175720877504,0.757186083552289,0.00010638580252950797,0.022600434730565482
0.08423641506290627,0.11150990693517299,0.747211633668712,0.7730671501057741,9.040702798251709e-05,0.0160694212127154
0.06325163290533553,0.10937246709529355,0.7416108295341939,0.8204184424522515,8.931189296085576e-05,0.01581956782822538
0.10831994637148251,0.09520093325292794,0.5873353596221328,0.7338029055124293,9.247052275894984e-05,0.01699704919554215
0.08540646039009142,0.10973773547955983,0.3786342822920832,0.7492565041118742,9.9923586276632e-05,0.020281402992528084
0.058913087388490534,0.0915678996933578,0.5511651082550008,0.8416952149285131,9.817535528150916e-05,0.018677821288083294
0.09026339328233868,0.09894536887250586,0.7961362788918849,0.7034853681839671,8.841530126238186e-05,0.015454198498176468
0.08356051940240594,0.08333387959224861,0.44873539659899603,0.6453029040372392,9.895020946867298e-05,0.01918973484547371
0.09248894534234656,0.10156228553140173,0.5719805082272803,0.9251588145092061,0.00010148220938784444,0.020129350160313964
0.05923812265325213,0.09134178265011426,0.8875271341592053,0.9234705901711318,9.46036429752537e-05,0.01817131862888654
0.09237915847254782,0.10708423938947761,0.4743690783858322,0.9218646296163385,0.00010313446647707912,0.02078819064291305
0.07683805508670473,0.08266899544695189,0.7568873115554693,0.787186905383675,9.567950630798125e-05,0.017903869234172788
0.05472798893295795,0.11764365512359279,0.6072524904960146,0.743000229699305,9.718200152974091e-05,0.018383030226049604
0.0998674595237305,0.09637854562685855,0.33733423889721054,0.7313633846002371,0.00010504854858197633,0.022807816061163527
0.08393971359224392,0.09323569151245825,0.5541241734092468,0.785745329697092,0.00010386653298408028,0.021265057203538877
0.09793939299241208,0.09033886344642736,0.40996123523230954,0.9747790934132134,9.73895655023076e-05,0.019174459563624662
0.10366914540380126,0.0848909227122874,0.874690849225612,0.9034768286805114,9.059006324463098e-05,0.016081391673093123
0.10777964230245021,0.11527779209123182,0.6389167136159751,0.7634679072244501,0.0001002677828170047,0.01971561423907533
0.07938487895551871,0.08347984375991113,0.8715375829067389,0.9743322929190154,8.873011778984327e-05,0.015393412047143245
0.0656933552012262,0.09831793179754372,0.45170916600265854,0.694626498654359,0.00010313229891723272,0.02114842947539611
0.05996262115951576,0.11884525324068718,0.5925695482195885,0.8380792096434201,0.00010548256280229247,0.022726795401624686
0.0903961123688345,0.08383892223001711,0.3478291129217171,0.9884836528106516,0.00010614454315971525,0.02280804203204638
0.11497463412728884,0.11778025659076677,0.49698869303657434,0.6208600560855039,0.00010209360082373306,0.020452190995702595
0.055993022308966564,0.11960626771763463,0.8425708972097254,0.6292491208733814,9.534806900815108e-05,0.01798592897793744
0.09372927939596079,0.08105000901656835,0.6587223755172991,0.9075788124759628,9.321018446790289e-05,0.01675871912282217
0.06768667188105079,0.08631629216312785,0.34697616983470225,0.8618623917638921,0.00010862361923717936,0.024127724065734598
0.08038435007717042,0.0981876612427133,0.8323958965163536,0.7795055762244709,0.00010013272120122053,0.02049636255785408
0.10006450326461055,0.08744159628631037,0.3885063254259125,0.9496264034660301,0.00010654734820660338,0.022863578017729827
0.0951432010620617,0.10235905468455858,0.3203326519183328,0.9416968702116363,0.0001026639905373628,0.02218556012607563
0.0631005153150197,0.1118768432760516,0.7558741646945858,0.6916842851138998,0.00010098743662093257,0.020562366250613473
0.07764331349281642,0.11322324282819629,0.5450002650236739,0.9127460176862234,9.967237808204431e-05,0.019256934172378407
